"x","y","z","volume","id","AT1G19850","AT1G24260","AT1G30490","AT1G62360","AT1G69120","AT1G76420","AT1G80100","AT2G17950","AT2G27250","AT2G33860","AT2G34710","AT2G37630","AT2G45190","AT3G15170","AT3G54340","AT4G18960","AT4G21750","AT4G36920","AT4G37750","AT5G20240","AT5G53950","AT5G60690","AT5G61850"
"50",90.261,67.545,5.04944,227.043,"50",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"51",58.4303,97.106,5.19082,243.964,"51",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
"52",47.9124,72.6678,5.50022,307.395,"52",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1
"53",58.578,88.0824,5.7229,366.902,"53",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
"54",53.9238,63.6998,5.23334,368.864,"54",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1
"55",83.7994,82.4668,6.61621,267.37,"55",0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1
"56",42.2927,74.4296,5.06203,321.068,"56",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"57",71.7962,67.3129,5.62223,202.287,"57",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1
"58",85.7043,63.3776,4.85628,111.799,"58",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"59",88.1983,57.445,3.91937,75.1729,"59",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"60",74.0995,93.8206,5.93927,224.727,"60",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
"61",39.5665,62.3307,3.8434,23.9411,"61",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"63",79.1557,72.674,6.56832,173.476,"63",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"64",63.5025,78.083,7.8852,369.283,"64",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1
"65",75.4666,77.5044,6.22464,105.787,"65",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"66",61.4995,55.776,7.91118,172.963,"66",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"67",77.161,56.1945,5.52531,47.4447,"67",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"68",96.1836,60.5822,6.97111,260.81,"68",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"69",45.6891,63.1019,7.53413,437.221,"69",1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
"70",81.7306,57.5466,9.43787,317.632,"70",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
