"","symbol","tair","top_spear_cor"
"AT1G19850","MP","AT1G19850",1
"AT1G24260","SEP3","AT1G24260",1
"AT1G30490","PHV","AT1G30490",1
"AT1G62360","WAM1","AT1G62360",1
"AT1G69120","ATAP1","AT1G69120",1
"AT1G76420","NAC368","AT1G76420",1
"AT1G80100","HP6","AT1G80100",1
"AT2G17950","WUS1","AT2G17950",1
"AT2G27250","CLV3","AT2G27250",1
"AT2G33860","ETT","AT2G33860",1
"AT2G34710","PHB-1D","AT2G34710",1
"AT2G37630","MYB91","AT2G37630",1
"AT2G45190","YAB1","AT2G45190",1
"AT3G15170","CUC1","AT3G15170",1
"AT3G54340","ATAP3","AT3G54340",1
"AT4G18960","AG","AT4G18960",1
"AT4G21750","ATML1","AT4G21750",1
"AT4G36920","FLO2","AT4G36920",1
"AT4G37750","DRG","AT4G37750",1
"AT5G20240","PI","AT5G20240",1
"AT5G53950","CUC2","AT5G53950",1
"AT5G60690","REV","AT5G60690",1
"AT5G61850","LFY3","AT5G61850",1
"AT1G09190","None","AT1G09190",0.469601820035689
"AT2G26250","KCS10","AT2G26250",0.461599248910723
"AT4G04890","PDF2","AT4G04890",0.440855136073237
"AT2G42840","PDF1","AT2G42840",0.437020739050865
"AT2G27880","ATAGO5","AT2G27880",0.406016189043216
"AT5G51800","None","AT5G51800",0.397616574532641
"AT1G72970","HTH","AT1G72970",0.392872389514352
"AT3G54870","MRH2","AT3G54870",0.375483278971299
"AT4G15630","CASPL1E1","AT4G15630",0.370169696447154
"AT2G47240","LACS1","AT2G47240",0.360082328489493
"AT5G45670","None","AT5G45670",0.355986903834097
"AT1G49430","LRD2","AT1G49430",0.355013580237039
"AT4G00180","YAB3","AT4G00180",0.350356430972019
"AT3G05600","ATEH1","AT3G05600",0.34746874695454
"AT3G26932","DRB3","AT3G26932",0.344747776558327
"AT3G23560","ALF5","AT3G23560",0.340508075673244
"AT5G46880","HDG5","AT5G46880",0.33836541627696
"AT1G02190","CER1-L1","AT1G02190",0.332674467846854
"AT5G06300","LOG7","AT5G06300",0.330412503016338
"AT3G04290","LTL1","AT3G04290",0.329107337883295
"AT4G38620","MYB4","AT4G38620",0.328324167246502
"AT1G64710","None","AT1G64710",0.326531543737787
"AT2G35960","NHL12","AT2G35960",0.313982987595176
"AT3G01580","None","AT3G01580",0.313982987595176
"AT5G49450","BZIP1","AT5G49450",0.313982987595176
"AT5G16860","None","AT5G16860",0.311721819906122
"AT1G01610","GPAT4","AT1G01610",0.311252096047674
"AT4G36250","ALDH3F1","AT4G36250",0.310271036726354
"AT1G02205","CER22","AT1G02205",0.302372036277388
"AT1G17200","CASPL2A1","AT1G17200",0.301069075392418
"AT1G12300","RFL2","AT1G12300",0.298205199208092
"AT3G07290","None","AT3G07290",0.298205199208092
"AT5G10740","None","AT5G10740",0.298205199208092
"AT5G18460","None","AT5G18460",0.292597299160064
"AT4G39330","CAD9","AT4G39330",0.292419607154739
"AT2G05630","ATG8D","AT2G05630",0.291487823094345
"AT1G75820","FLO5","AT1G75820",0.291386151860471
"AT3G16370","None","AT3G16370",0.28808374834534
"AT2G27385","None","AT2G27385",0.287674948448253
"AT2G34150","WAVE1","AT2G34150",0.287590181094285
"AT1G09820","None","AT1G09820",0.285191269750134
"AT1G19730","ATTRX4","AT1G19730",0.285191269750134
"AT5G51750","SBT1.3","AT5G51750",0.283641732871352
"AT1G12330","None","AT1G12330",0.282587386763523
"AT1G17840","WBC11","AT1G17840",0.282315536148889
"AT1G11303","None","AT1G11303",0.280234055236178
"AT1G51460","FOP2","AT1G51460",0.279754649230097
"AT5G49330","PFG3","AT5G49330",0.277426601993094
"AT5G45920","None","AT5G45920",0.276656322118725
"AT1G05230","HDG2","AT1G05230",0.27659453134002
"AT4G21590","ENDO3","AT4G21590",0.276158792889512
"AT2G47630","MAGL9","AT2G47630",0.275046371103221
"AT2G33480","NAC041","AT2G33480",0.272550481013725
"AT1G55610","BRL1","AT1G55610",0.272022693681597
"AT1G27950","LTPG1","AT1G27950",0.271331765105485
"AT3G08770","LTP6","AT3G08770",0.270430885153589
"AT1G30530","UGT78D1","AT1G30530",0.269227351402712
"AT2G28470","BGAL8","AT2G28470",0.268878423764987
"AT5G41070","DRB5","AT5G41070",0.268878423764987
"AT2G28630","KCS12","AT2G28630",0.268771635305834
"AT5G23940","PEL3","AT5G23940",0.268505022256834
"AT4G29030","None","AT4G29030",0.266187919399589
"AT3G16510","None","AT3G16510",0.264485869573585
"AT5G20410","MGD2","AT5G20410",0.264485869573585
"AT5G41650","GLXI-LIKE;10","AT5G41650",0.264485869573585
"AT5G66630","DAR5","AT5G66630",0.264485869573585
"AT5G67410","None","AT5G67410",0.264485869573585
"AT4G33220","PME44","AT4G33220",0.263093613967483
"AT4G23670","None","AT4G23670",0.262419688217116
"AT1G78170","None","AT1G78170",0.262307811201978
"AT4G25830","CASPL2C1","AT4G25830",0.257198432602012
"AT4G37608","None","AT4G37608",0.25625773975473
"AT5G01075","TWS1","AT5G01075",0.255908770827912
"AT3G49900","None","AT3G49900",0.255702277004022
"AT3G17010","REM22","AT3G17010",0.254590541847922
"AT3G48030","ATHIGD1","AT3G48030",0.254226362238454
"AT5G47360","None","AT5G47360",0.252946426760988
"AT3G52270","None","AT3G52270",0.252383738503939
"AT4G00400","GPAT8","AT4G00400",0.252103583147047
"AT1G10060","BCAT1","AT1G10060",0.251088137372578
"AT5G25610","RD22","AT5G25610",0.250307476864594
"AT1G26800","MPSR1","AT1G26800",0.246992577735102
"AT1G09115","None","AT1G09115",0.24672131147541
"AT1G11020","None","AT1G11020",0.245876572665684
